t	mx	my	mz	MaxAngle	phi	f_RF
0.0	0.8768385	0.46293154	0.0021515363	0.1007772	30	3000000000.0
4.369394580391903e-12	0.87706614	0.4624304	3.0584382e-05	0.1002122	30	3000000000.0
8.773939255572538e-12	0.87669635	0.46308336	-0.002064937	0.09987681	30	3000000000.0
1.4642310079957362e-11	0.8752911	0.46571222	-0.004751061	0.09967816	30	3000000000.0
1.9041431539448808e-11	0.8735745	0.46894246	-0.0066550346	0.09969193	30	3000000000.0
2.4906861449876534e-11	0.8704391	0.4748077	-0.009003607	0.09995211	30	3000000000.0
2.9303061940151584e-11	0.8674868	0.48026744	-0.010592986	0.100334264	30	3000000000.0
3.369835051224099e-11	0.8640523	0.48653203	-0.012013044	0.10081453	30	3000000000.0
3.955620189964328e-11	0.8587879	0.49594834	-0.013611924	0.10145095	30	3000000000.0
4.3949423155158375e-11	0.85438126	0.5036585	-0.01457101	0.101843916	30	3000000000.0
4.980518058087093e-11	0.8479954	0.51456213	-0.015506799	0.10221376	30	3000000000.0
5.419738227307122e-11	0.84289956	0.5230432	-0.015941016	0.1023387	30	3000000000.0
5.858818373365057e-11	0.837618	0.5316359	-0.016140558	0.10227159	30	3000000000.0
6.444497489089216e-11	0.83041036	0.54305285	-0.016040625	0.10177002	30	3000000000.0
6.883593258569278e-11	0.8249885	0.5514175	-0.015695335	0.10104346	30	3000000000.0
7.468942651503888e-11	0.8178956	0.5620851	-0.014888387	0.09959367	30	3000000000.0
7.90797023421495e-11	0.8127876	0.5695834	-0.014037482	0.09813957	30	3000000000.0
8.493201590098747e-11	0.8064209	0.578724	-0.01260354	0.09568293	30	3000000000.0
8.932132630527639e-11	0.80208206	0.5848285	-0.011326461	0.093448974	30	3000000000.0
9.371057121859249e-11	0.7981996	0.59020805	-0.009899345	0.09090869	30	3000000000.0
9.95631655694348e-11	0.7938459	0.59615153	-0.0078024506	0.09315981	30	3000000000.0
1.0395254596355323e-10	0.79126936	0.5996265	-0.006116121	0.09550246	30	3000000000.0
1.0980422785680874e-10	0.7888319	0.602887	-0.0037655502	0.09841718	30	3000000000.0
1.1419360427731032e-10	0.7877871	0.6042782	-0.0019599565	0.100404456	30	3000000000.0
1.1858323030844235e-10	0.78742826	0.60475755	-0.00014758998	0.1021793	30	3000000000.0
1.244350134028121e-10	0.78801274	0.6039878	0.00223331	0.10415753	30	3000000000.0
1.2882454865316155e-10	0.7892265	0.6023757	0.0039598425	0.10533702	30	3000000000.0
1.3467868768499728e-10	0.79181993	0.59890085	0.006137339	0.10652143	30	3000000000.0
1.3906886588211102e-10	0.7944384	0.5953541	0.007647646	0.10715974	30	3000000000.0
1.4492176338159824e-10	0.79872155	0.5894701	0.0094597405	0.1077361	30	3000000000.0
1.4931131946713176e-10	0.8024442	0.5842717	0.010645306	0.10799521	30	3000000000.0
1.537008353708781e-10	0.80652565	0.5784798	0.01166599	0.10814221	30	3000000000.0
1.5955304019223205e-10	0.81239575	0.56997436	0.012750617	0.10821784	30	3000000000.0
1.6394264548098304e-10	0.81702083	0.5631211	0.013346194	0.108204044	30	3000000000.0
1.6979746037049237e-10	0.82334125	0.55352837	0.013840278	0.108094156	30	3000000000.0
1.7418722280018692e-10	0.8280986	0.54612637	0.013983507	0.107919976	30	3000000000.0
1.7857668706456964e-10	0.8327944	0.5386587	0.013933672	0.107611865	30	3000000000.0
1.8442854300004063e-10	0.8388504	0.5287788	0.013575093	0.10686733	30	3000000000.0
1.8881829711938906e-10	0.84316623	0.5215567	0.013096645	0.105931714	30	3000000000.0
1.9467023228963066e-10	0.8485239	0.5123691	0.012199074	0.10398482	30	3000000000.0
1.9905992188595317e-10	0.8521926	0.50592846	0.011347441	0.10187147	30	3000000000.0
2.04914484289764e-10	0.8565548	0.49810326	0.010002008	0.098043405	30	3000000000.0
2.093039616881602e-10	0.8593941	0.49290845	0.008857756	0.0943637	30	3000000000.0
2.1369341486114939e-10	0.86184204	0.48836273	0.0076174117	0.09513421	30	3000000000.0
2.1954594619988727e-10	0.86447483	0.48340383	0.005847141	0.10103341	30	3000000000.0
2.2393532463037156e-10	0.86596555	0.48056388	0.0044576335	0.10533588	30	3000000000.0
2.2978704616368374e-10	0.8673023	0.47800067	0.0025608693	0.1106999	30	3000000000.0
2.341773450763597e-10	0.86781853	0.47701094	0.0011304269	0.11429132	30	3000000000.0
2.385672004116984e-10	0.86792284	0.47682002	-0.00028443828	0.1173728	30	3000000000.0
2.44421811216163e-10	0.86743546	0.47778225	-0.0021148254	0.120477006	30	3000000000.0
2.488111582419743e-10	0.8666153	0.47937998	-0.0034215807	0.12191365	30	3000000000.0
2.5466357166716144e-10	0.8649439	0.4826024	-0.00504524	0.12250965	30	3000000000.0
2.59053487992234e-10	0.863281	0.48577252	-0.006154887	0.12193668	30	3000000000.0
2.649049727369564e-10	0.8605609	0.49088633	-0.007465012	0.11987991	30	3000000000.0
2.692946868048813e-10	0.85817647	0.49529988	-0.008306942	0.11749134	30	3000000000.0
2.7368447625503276e-10	0.8555305	0.5001255	-0.009018239	0.114546604	30	3000000000.0
2.7953858662599994e-10	0.85165286	0.5070654	-0.009752223	0.11009886	30	3000000000.0
2.8392782660569323e-10	0.8485326	0.5125419	-0.0101360995	0.10666708	30	3000000000.0
2.8978057403172097e-10	0.84416527	0.5200526	-0.010422532	0.10239061	30	3000000000.0
2.941694642089887e-10	0.8407917	0.5257361	-0.010469016	0.09965	30	3000000000.0
2.985575537968404e-10	0.83738536	0.53137565	-0.010374356	0.09746384	30	3000000000.0
3.044074507546921e-10	0.83287305	0.53869873	-0.010037387	0.095509954	30	3000000000.0
3.087964533001712e-10	0.8295701	0.54395694	-0.0096355025	0.09474375	30	3000000000.0
3.1465002500937646e-10	0.8253627	0.55053544	-0.008917674	0.09447749	30	3000000000.0
3.190388128373768e-10	0.8224131	0.55507046	-0.0082570035	0.094648555	30	3000000000.0
3.2489018561395206e-10	0.81883043	0.5604969	-0.007236051	0.095050715	30	3000000000.0
3.292796440498746e-10	0.8164515	0.56405205	-0.006382412	0.095264636	30	3000000000.0
3.336684687399547e-10	0.81437117	0.5671303	-0.0054695047	0.095242076	30	3000000000.0
